"ID"|"n_species"|"n_ecosystems"|"autoconsumption"|"n_preparations"|"n_Agr_pract"|"region"|"headsex"|"elcsa_cat"|"edu"|"assistance"|"nonaginc"|"hhsize"|"headage"|"numchildren"|"age"|"num_emp"|"area"|"ch"|"ced"|"l_fields"|"m_fields"|"cd_field"|"cd_garden"|"cd_tree"|"cd_gardentree"|"clust"
"1295"|3|5|3|3|1|"Amarilis"|FALSE|"2"|"2"|FALSE|TRUE|8|47|1|41|2|4|2450|465|2|2|2|3|2|5|"3"
"1296"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"3"|FALSE|TRUE|4|32|1|29|2|2|11550|2697|2|2|2|0|2|2|"1"
"1297"|4|1|4|1|1|"Amarilis"|FALSE|"1"|"2"|FALSE|FALSE|3|47|0|38|2|1|1550|341|1|1|3|12|0|12|"2"
"1298"|5|1|5|3|1|"Amarilis"|FALSE|"1"|"1"|FALSE|FALSE|5|31|1|39|1|5.5|1205|32.549999|2|2|3|0|2|2|"1"
"1302"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"2"|FALSE|FALSE|4|40|1|40|1|2|1500|186|1|1|1|0|0|0|"1"
"1303"|1|1|1|1|1|"Amarilis"|FALSE|"3"|"1"|FALSE|TRUE|7|42|1|41|3|6|9850|488.25|2|2|4|5|2|7|"1"
"1305"|1|3|1|1|1|"Amarilis"|FALSE|"1"|"0"|FALSE|FALSE|4|55|0|42|1|2.2941999|250|0|2|2|1|0|0|0|"1"
"1306"|1|2|1|1|5|"Amarilis"|FALSE|"1"|"1"|FALSE|TRUE|5|44|2|36|2|2.3536|830|148.8|2|2|3|0|0|0|"1"
"1307"|4|2|4|3|1|"Amarilis"|FALSE|"1"|"2"|FALSE|FALSE|5|42|0|42|1|1.7652|688|100.43999|1|1|2|9|3|14|"2"
"1313"|1|1|1|2|1|"Amarilis"|FALSE|"1"|"3"|FALSE|TRUE|6|40|0|40|2|4|2200|62|2|2|3|5|5|10|"1"
"1326"|7|1|7|3|1|"Amarilis"|TRUE|"1"|"2"|FALSE|TRUE|5|37|1|37|1|0.029999999|0|0|1|1|0|1|4|6|"1"
"1332"|1|1|1|1|1|"Amarilis"|FALSE|"0"|"4"|FALSE|TRUE|7|52|1|30|3|0.5|230|23.25|2|2|2|0|8|8|"1"
"1333"|2|2|2|1|1|"Amarilis"|FALSE|"1"|"4"|TRUE|TRUE|5|31|1|32|3|0.58840001|400|80.599998|1|1|2|0|0|0|"1"
"1334"|2|2|2|2|1|"Amarilis"|FALSE|"2"|"0"|FALSE|FALSE|6|48|1|47|2|0.2942|310|0|1|1|2|4|0|4|"1"
"1335"|3|2|3|3|1|"Amarilis"|FALSE|"1"|"0"|FALSE|TRUE|6|62|1|44|2|0.1471|0|0|1|1|0|9|0|11|"1"
"1339"|1|1|1|1|1|"Amarilis"|FALSE|"2"|"1"|FALSE|FALSE|8|63|2|38|1|0.2942|225|27.9|1|1|1|0|5|5|"1"
"1345"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"4"|FALSE|TRUE|7|68|3|24|2|0.0099999998|2.0999999|0|1|1|1|9|3|14|"1"
"1366"|2|1|2|1|1|"Amarilis"|FALSE|"2"|"1"|FALSE|FALSE|6|36|1|32|1|0.58840001|1800|310|2|2|1|0|0|0|"1"
"1367"|1|1|1|2|1|"Amarilis"|FALSE|"1"|"3"|FALSE|TRUE|10|45|3|19|2|0.5|46|0|1|1|1|6|10|16|"1"
"1368"|2|1|2|4|1|"Amarilis"|TRUE|"1"|"0"|FALSE|TRUE|6|39|1|39|2|4|0|0|1|1|0|3|5|8|"1"
"1369"|1|1|1|1|1|"Amarilis"|FALSE|"0"|"2"|FALSE|FALSE|3|30|0|25|2|1|770|0|1|1|3|7|3|10|"1"
"1370"|2|2|2|3|1|"Amarilis"|FALSE|"1"|"4"|FALSE|FALSE|3|25|1|19|1|0.88260001|1800|279.31|1|1|2|0|2|2|"1"
"1374"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"0"|FALSE|TRUE|3|45|0|42|2|0.58840001|1525|0|2|2|5|3|4|7|"1"
"1378"|3|2|3|3|8|"Amarilis"|FALSE|"2"|"1"|FALSE|FALSE|5|39|1|28|1|1.5|0|0|1|1|0|3|1|4|"1"
"1380"|3|1|3|3|2|"Amarilis"|FALSE|"1"|"2"|TRUE|TRUE|4|56|0|26|3|0.3125|350|279|2|1|2|6|0|6|"1"
"1393"|3|1|3|3|1|"Amarilis"|FALSE|"3"|"1"|FALSE|FALSE|6|45|2|26|1|1|241|0|1|1|2|0|1|1|"1"
"1394"|2|2|2|3|3|"Amarilis"|FALSE|"1"|"1"|FALSE|TRUE|5|52|1|41|2|1.5884|564.20001|0|2|1|3|0|0|0|"1"
"1401"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"4"|FALSE|TRUE|4|62|0|20|2|1.0076001|3134.25|716.09998|3|3|6|8|1|10|"1"
"1405"|3|3|3|3|1|"Amarilis"|FALSE|"1"|"1"|FALSE|TRUE|4|38|0|38|2|2.5|7133|581.25|2|2|3|5|0|5|"1"
"1408"|2|3|2|1|2|"Amarilis"|FALSE|"1"|"2"|FALSE|TRUE|3|50|0|35|2|0.2942|4000|173.60001|2|2|5|4|2|8|"1"
"1413"|2|3|2|1|1|"Amarilis"|TRUE|"3"|"3"|FALSE|FALSE|5|54|0|18|1|0.4413|200|0|3|3|1|3|3|6|"1"
"1416"|3|3|3|3|1|"Amarilis"|FALSE|"1"|"0"|FALSE|FALSE|4|41|1|36|1|0.875|7630|1350.05|3|3|8|5|0|5|"1"
"1419"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"0"|FALSE|TRUE|5|35|1|36|2|1.471|740|0|2|1|3|1|0|1|"1"
"1420"|2|2|2|2|1|"Amarilis"|FALSE|"2"|"4"|FALSE|TRUE|6|76|2|22|2|0.2942|450|65.099998|1|1|2|5|4|9|"1"
"1422"|1|2|1|1|1|"Amarilis"|FALSE|"3"|"2"|FALSE|FALSE|3|31|0|40|2|0.2942|600|0|1|1|1|0|4|4|"1"
"1428"|6|3|6|4|1|"Amarilis"|FALSE|"1"|"1"|FALSE|TRUE|6|48|2|49|2|2.2652001|837|301.28082|5|5|4|5|3|8|"2"
"1429"|1|1|1|4|1|"Amarilis"|FALSE|"0"|"4"|FALSE|TRUE|3|26|0|22|3|0.58840001|475|104.625|1|1|3|0|0|0|"1"
"1430"|4|2|4|2|1|"Amarilis"|TRUE|"2"|"1"|TRUE|TRUE|5|42|0|42|2|7.5883999|5115|325.5|4|4|6|9|1|12|"1"
"1432"|2|2|2|2|1|"Amarilis"|FALSE|"1"|"3"|FALSE|TRUE|5|52|0|28|3|0.625|900|0|3|3|2|0|0|0|"1"
"1435"|1|1|1|1|1|"Amarilis"|FALSE|"0"|"4"|FALSE|FALSE|5|36|1|29|1|1.925|10850|2071.575|4|4|3|4|0|4|"1"
"1439"|3|1|3|2|1|"Amarilis"|FALSE|"1"|"0"|FALSE|FALSE|7|60|0|35|2|0.58840001|1100|69.75|1|1|4|4|0|4|"1"
"1440"|6|2|6|3|1|"Amarilis"|FALSE|"1"|"4"|FALSE|TRUE|6|39|1|39|4|1|1850|0|1|1|4|5|0|5|"1"
"1444"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"4"|FALSE|TRUE|6|56|0|26|3|0.2942|660|124|1|1|3|6|0|6|"1"
"1445"|6|3|6|3|1|"Amarilis"|TRUE|"2"|"1"|FALSE|TRUE|4|41|0|41|3|2|5650|1168.7|1|1|3|7|0|7|"1"
"1449"|2|2|2|1|2|"Amarilis"|FALSE|"2"|"3"|FALSE|TRUE|4|33|1|28|2|0.2942|500|0|1|1|2|2|0|2|"1"
"1451"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"1"|FALSE|FALSE|7|35|1|38|2|0.2942|0|0|1|1|1|2|4|6|"1"
"1454"|2|2|2|1|1|"Amarilis"|FALSE|"0"|"4"|FALSE|TRUE|5|29|1|36|2|1|1750|899|4|3|2|8|3|13|"1"
"1456"|2|1|2|3|1|"Amarilis"|TRUE|"2"|"1"|FALSE|TRUE|3|30|0|30|3|1|1900|77.5|1|1|4|0|2|2|"1"
"1470"|1|1|1|1|1|"Amarilis"|TRUE|"1"|"4"|TRUE|FALSE|6|55|1|22|4|0.58840001|5400|434|1|1|3|3|0|3|"3"
"1471"|4|3|4|2|1|"Amarilis"|FALSE|"1"|"4"|FALSE|FALSE|5|50|1|23|2|0.73549998|8800|868|2|2|3|0|0|0|"1"
"1482"|2|2|2|1|1|"Amarilis"|FALSE|"1"|"1"|FALSE|FALSE|6|48|2|41|2|1.2941999|250|0|2|2|2|7|3|11|"1"
"1486"|2|1|2|1|1|"Amarilis"|FALSE|"2"|"2"|FALSE|TRUE|5|47|0|41|2|1.3239|5350|1302|3|3|4|6|10|16|"3"
"1490"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"2"|FALSE|FALSE|3|42|0|39|1|0.88260001|6660|589|1|1|3|0|1|1|"1"
"1497"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"2"|TRUE|TRUE|6|46|0|44|2|0.25|0|0|1|1|0|7|0|7|"1"
"1498"|2|1|2|1|1|"Amarilis"|FALSE|"1"|"1"|FALSE|TRUE|7|41|0|39|2|14.8|24164|6572|2|2|6|5|2|7|"1"
"1500"|1|1|1|1|1|"Amarilis"|TRUE|"1"|"2"|FALSE|FALSE|1|45|0|45|1|0.2942|50|0|1|1|1|0|1|1|"1"
"1510"|1|1|1|2|1|"Amarilis"|FALSE|"1"|"4"|FALSE|FALSE|7|57|1|22|1|6|2500|0|1|1|3|3|1|4|"1"
"1523"|1|1|1|1|1|"Amarilis"|FALSE|"1"|"3"|FALSE|FALSE|4|50|0|43|1|1.2941999|3081.8|325.5|2|1|4|0|2|2|"1"
"1528"|2|1|2|1|1|"Amarilis"|FALSE|"0"|"4"|FALSE|FALSE|7|60|1|23|1|4|0|0|2|2|0|0|0|0|"1"
"1531"|2|1|2|2|1|"Amarilis"|FALSE|"2"|"1"|FALSE|FALSE|3|40|0|38|2|1.1768|5400|34.875|2|2|3|0|0|0|"1"
"1533"|2|2|2|2|1|"Amarilis"|FALSE|"3"|"3"|FALSE|FALSE|5|31|0|28|2|0.5|625|49.599998|1|1|2|0|1|1|"1"
"1534"|2|1|2|1|2|"Amarilis"|FALSE|"2"|"1"|FALSE|TRUE|3|30|0|27|2|0.1471|112.5|0|1|1|1|0|0|0|"1"
"1539"|1|1|1|1|1|"Amarilis"|FALSE|"0"|"0"|TRUE|TRUE|7|66|2|39|3|2.2941999|3400|682|2|2|3|13|1|18|"1"
"1541"|1|2|1|1|1|"Amarilis"|FALSE|"1"|"0"|FALSE|TRUE|3|45|0|40|2|3.0891001|800|173.60001|6|6|2|1|1|2|"1"
"1543"|1|1|1|2|1|"Amarilis"|FALSE|"2"|"1"|FALSE|FALSE|7|38|1|34|1|0.58840001|2360|697.5|1|1|3|0|0|0|"1"
"1544"|2|1|2|1|1|"Amarilis"|FALSE|"1"|"1"|FALSE|TRUE|5|42|2|37|2|0.1471|350|0|1|1|1|0|0|0|"1"
"1546"|1|1|1|2|1|"Amarilis"|FALSE|"1"|"1"|FALSE|TRUE|5|52|1|29|2|1.1768|1650|196.85001|3|2|3|0|1|1|"1"
"1549"|1|1|1|1|1|"Amarilis"|FALSE|"0"|"0"|FALSE|FALSE|2|42|0|42|2|2.0594001|2900|1007.5|4|4|2|4|1|5|"1"
"1551"|1|1|1|1|1|"Amarilis"|TRUE|"1"|"0"|FALSE|TRUE|5|43|1|43|2|0.96340001|2975|301.63|3|3|4|4|1|5|"1"
"1552"|5|3|5|1|2|"Amarilis"|FALSE|"2"|"4"|FALSE|FALSE|3|27|0|23|1|4|10500|2673.75|1|1|1|3|0|3|"1"
"1554"|8|5|8|1|1|"Amarilis"|TRUE|"1"|"1"|TRUE|FALSE|1|40|0|40|1|0.125|300|0|1|1|3|0|1|1|"3"
