region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,age,wealthindex,num_emp,inc,area,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1472,Amarilis,3,2,0,3,0,1,1,1,1,1,0,0,5,35,-0.23931696,2,1100,0.1471,1,1,2,3,0,3
1482,Amarilis,2,2,0,2,0,1,1,0,1,1,0,0,6,41,-0.90965116,2,1600,1.2941999,2,2,2,7,3,11
1486,Amarilis,2,1,0,2,0,1,1,0,2,2,0,1,5,41,-0.070747666,2,6000,1.3239,3,3,4,6,10,16
1490,Amarilis,1,1,0,1,0,1,1,0,1,2,0,0,3,39,-0.84666818,1,500,0.88260001,1,1,3,0,1,1
1497,Amarilis,1,1,0,1,0,1,1,0,1,2,1,1,6,44,-0.52129841,2,2120,0.25,1,1,0,7,0,7
1498,Amarilis,2,1,0,2,0,1,1,0,1,1,0,1,7,39,0.52913147,2,1500,14.8,2,2,6,5,2,7
1500,Amarilis,1,1,0,1,0,1,1,1,1,2,0,0,1,45,0.11593625,1,400,0.2942,1,1,1,0,1,1
1510,Amarilis,1,1,0,1,0,2,1,0,1,4,0,0,7,22,2.1092136,1,2400,6,1,1,3,3,1,4
1523,Amarilis,1,1,0,1,0,1,1,0,1,3,0,0,4,43,0.30412307,1,1000,1.2941999,2,1,4,0,2,2
1528,Amarilis,2,1,0,2,0,1,1,0,0,4,0,0,7,23,-0.47071758,1,1500,4,2,2,0,0,0,0
1531,Amarilis,2,1,0,2,0,2,1,0,2,1,0,0,3,38,-0.10407622,2,2500,1.1768,2,2,3,0,0,0
1533,Amarilis,2,2,0,2,0,2,1,0,3,3,0,0,5,28,0.39062852,2,7000,0.5,1,1,2,0,1,1
1534,Amarilis,2,1,0,2,0,1,2,0,2,1,0,1,3,27,-0.23686714,2,860,0.1471,1,1,1,0,0,0
1539,Amarilis,1,1,0,1,0,1,1,0,0,0,1,1,7,39,-0.010826437,3,7200,2.2941999,2,2,3,13,1,18
1541,Amarilis,1,2,0,1,0,1,1,0,1,0,0,1,3,40,-0.77441043,2,550,3.0891001,6,6,2,1,1,2
1543,Amarilis,1,1,0,1,0,2,1,0,2,1,0,0,7,34,-0.6721378,1,300,0.58840001,1,1,3,0,0,0
1544,Amarilis,2,1,0,2,0,1,1,0,1,1,0,1,5,37,-0.5998801,2,800,0.1471,1,1,1,0,0,0
1546,Amarilis,1,1,0,1,0,2,1,0,1,1,0,1,5,29,-0.41902572,2,6000,1.1768,3,2,3,0,1,1
1549,Amarilis,1,1,0,1,0,1,1,0,0,0,0,0,2,42,-0.43846887,2,4200,2.0594001,4,4,2,4,1,5
1551,Amarilis,1,1,0,1,0,1,1,1,1,0,0,1,5,43,-0.0038631489,2,4020,0.96340001,3,3,4,4,1,5
1552,Amarilis,5,3,0,5,0,1,2,0,2,4,0,0,3,23,-0.6598013,1,13875,4,1,1,1,3,0,3
1554,Amarilis,8,5,0,8,0,1,1,1,1,1,1,0,1,40,-0.5100072,1,540,0.125,1,1,3,0,1,1
1555,Amarilis,1,1,0,1,0,1,1,0,2,1,0,0,14,29,-0.00093735958,1,1000,0.875,2,2,3,3,1,4
1556,Amarilis,5,7,1,5,0,3,1,0,2,1,1,0,7,34,-0.98190886,1,800,0.58840001,1,1,2,0,0,0
1558,Amarilis,2,2,0,2,0,4,1,0,1,0,0,0,6,37,0.62507951,1,2000,0.73549998,2,1,3,0,0,0
1560,Amarilis,7,3,0,6,0,1,1,1,1,2,0,1,9,27,-0.010826437,1,960,0.5,1,1,4,4,1,5
1562,Amarilis,4,2,0,4,0,1,1,0,2,3,0,0,4,21,-0.5998801,1,1500,1,2,2,4,0,0,0
1563,Amarilis,4,4,0,4,0,2,1,0,1,0,0,1,6,34,0.4147433,2,1650,0.125,1,1,3,0,0,0
1564,Amarilis,7,2,1,6,0,3,1,0,0,1,0,0,7,30,-0.59225184,1,800,0.58840001,2,2,2,2,0,2
1565,Amarilis,4,3,0,4,0,2,4,0,1,2,0,1,5,38,0.099074438,3,13500,1,1,1,4,0,0,0
1566,Amarilis,1,1,0,1,0,1,1,0,3,0,0,0,5,45,-0.39282915,1,2000,26,1,1,3,1,0,1
1567,Amarilis,1,1,0,1,0,1,1,0,3,1,0,0,4,32,-0.98190886,2,800,0.2942,1,1,1,2,0,2
1570,Amarilis,3,1,0,3,0,2,1,0,1,1,1,1,6,35,-0.70702225,2,450,1.471,3,2,3,4,0,4
1571,Amarilis,3,3,0,3,0,3,1,0,2,0,0,0,6,41,-0.6721378,2,3300,0.88260001,1,1,1,0,0,0
1576,Amarilis,2,1,0,2,0,1,1,0,1,1,0,1,2,39,1.0045903,2,2900,7.4710002,4,4,1,7,0,7
1577,Amarilis,4,1,0,4,0,3,1,0,1,1,1,1,9,30,-0.20634888,3,609,1.7652,2,2,2,3,0,3
1595,Molino-Umari,10,4,0,10,0,3,4,0,1,1,0,0,7,37,-0.34676802,1,3000,20,2,2,1,0,0,0
1600,Molino-Umari,3,1,0,3,0,1,3,0,1,1,1,0,4,35,0.22186045,1,2850,1.5884,2,2,2,9,4,13
1601,Molino-Umari,6,2,0,6,0,1,1,0,2,4,0,1,7,26,-0.082364783,2,600,0.375,1,1,1,12,0,12
1603,Molino-Umari,7,2,2,5,0,1,1,1,1,1,0,1,5,26,0.12797141,2,1200,6,2,2,6,2,1,3
1606,Molino-Umari,1,2,0,1,0,1,1,0,2,0,0,0,3,38,-0.68829262,1,600,0.2942,1,1,1,0,1,1
1612,Molino-Umari,7,1,0,7,0,3,1,1,1,4,0,1,7,25,0.046078358,3,9120,1,1,1,3,11,1,14
1614,Molino-Umari,5,2,0,5,0,3,1,0,1,1,0,0,5,32,-0.46471852,1,8000,1.0297,2,2,1,7,3,10
1615,Molino-Umari,1,1,0,1,0,1,1,1,1,2,0,1,4,20,-0.10407622,2,200,0.58840001,2,2,4,0,0,0
1619,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,0,6,33,-0.1130367,2,2020,1,1,1,5,9,0,11
1620,Molino-Umari,2,3,0,2,0,1,1,0,1,1,0,1,3,21,-0.16460943,2,128000,1.955,2,2,4,10,5,15
1621,Molino-Umari,2,2,0,2,0,1,1,0,1,0,0,0,5,39,-0.6721378,1,1000,0.71340001,2,2,3,7,5,12
1622,Molino-Umari,3,2,0,3,0,1,4,0,1,1,1,0,7,48,-0.5998801,2,5000,1.0076001,2,2,4,7,4,11
1626,Molino-Umari,1,3,0,1,0,1,1,0,1,1,0,0,6,37,-0.77441043,1,800,1.5884,2,2,4,7,4,11
1627,Molino-Umari,1,2,0,1,0,1,1,1,1,1,0,0,2,39,-0.5998801,1,800,0.2942,2,2,3,6,4,10
1629,Molino-Umari,3,3,0,3,0,3,1,0,1,1,0,0,5,29,-0.52129841,1,6560,3.5,3,3,4,4,3,7
1630,Molino-Umari,2,3,0,2,0,1,2,0,1,1,0,0,6,31,-0.52129841,1,3000,1.25,2,1,4,11,7,19
1633,Molino-Umari,3,2,0,3,0,2,1,0,0,1,0,0,5,34,-0.5074383,1,5000,0.73549998,2,2,3,6,1,7
1635,Molino-Umari,6,2,0,6,0,3,1,0,0,1,0,0,5,29,-0.6721378,1,100,0.58840001,1,1,3,6,4,10
1636,Molino-Umari,2,2,0,2,0,2,1,0,2,1,0,1,6,39,-0.90965116,1,400,0.88260001,2,2,1,0,2,2
1647,Molino-Umari,2,2,0,2,0,2,1,1,2,3,1,1,3,23,-0.5998801,1,360,0.25,1,1,0,8,5,13
1648,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,4,30,-0.34676802,1,4500,1.9123,4,4,2,7,1,8
1650,Molino-Umari,2,2,0,2,0,2,6,0,1,0,0,0,4,22,-0.77441043,1,300,0.88260001,2,2,2,3,0,3
1651,Molino-Umari,6,2,0,6,0,3,1,0,1,2,0,0,6,30,-0.24935904,1,1000,10,1,1,3,0,0,0
1652,Molino-Umari,8,2,0,8,0,3,1,1,1,0,0,0,6,34,-0.5998801,1,100,0.2942,1,1,2,0,1,1
1655,Molino-Umari,3,2,0,3,0,2,2,1,1,0,0,1,4,30,-0.41902572,2,15400,0.58840001,2,2,1,10,1,11
1657,Molino-Umari,2,1,0,2,0,2,1,0,1,1,0,0,5,42,-0.84666818,1,5000,1.1768,1,1,1,3,5,8
1660,Molino-Umari,4,2,0,4,0,2,1,1,3,1,0,1,5,39,-0.73512077,3,350,1,1,1,3,3,4,7
1661,Molino-Umari,2,3,0,2,0,1,5,0,1,3,0,0,2,25,-0.41902572,1,3000,1.2941999,2,2,4,0,0,0
1667,Molino-Umari,6,2,0,6,0,3,1,1,1,1,0,0,5,28,-0.34676802,2,5000,1.1768,1,1,1,7,2,9
1684,Molino-Umari,1,1,0,1,0,1,1,1,3,1,0,0,4,33,-0.77441043,1,200,0.2942,1,1,0,3,0,3
