hhid,region,town,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract
1556,Amarilis,NA,5,7,1,5,0,3,1
1558,Amarilis,NA,2,2,0,2,0,4,1
1559,Amarilis,NA,1,1,0,1,0,1,1
1560,Amarilis,NA,7,3,0,6,0,1,1
1562,Amarilis,NA,4,2,0,4,0,1,1
1563,Amarilis,NA,4,4,0,4,0,2,1
1564,Amarilis,NA,7,2,1,6,0,3,1
1565,Amarilis,NA,4,3,0,4,0,2,4
1566,Amarilis,NA,1,1,0,1,0,1,1
1567,Amarilis,NA,1,1,0,1,0,1,1
1570,Amarilis,NA,3,1,0,3,0,2,1
1571,Amarilis,NA,3,3,0,3,0,3,1
1576,Amarilis,NA,2,1,0,2,0,1,1
1577,Amarilis,NA,4,1,0,4,0,3,1
1595,Molino-Umari,NA,10,4,0,10,0,3,4
1600,Molino-Umari,NA,3,1,0,3,0,1,3
1601,Molino-Umari,NA,6,2,0,6,0,1,1
1603,Molino-Umari,NA,7,2,2,5,0,1,1
1606,Molino-Umari,NA,1,2,0,1,0,1,1
1612,Molino-Umari,NA,7,1,0,7,0,3,1
1614,Molino-Umari,NA,5,2,0,5,0,3,1
1615,Molino-Umari,NA,1,1,0,1,0,1,1
1619,Molino-Umari,NA,2,1,0,2,0,1,1
1620,Molino-Umari,NA,2,3,0,2,0,1,1
1621,Molino-Umari,NA,2,2,0,2,0,1,1
1622,Molino-Umari,NA,3,2,0,3,0,1,4
1626,Molino-Umari,NA,1,3,0,1,0,1,1
1627,Molino-Umari,NA,1,2,0,1,0,1,1
1629,Molino-Umari,NA,3,3,0,3,0,3,1
1630,Molino-Umari,NA,2,3,0,2,0,1,2
1633,Molino-Umari,NA,3,2,0,3,0,2,1
1635,Molino-Umari,NA,6,2,0,6,0,3,1
1636,Molino-Umari,NA,2,2,0,2,0,2,1
1647,Molino-Umari,NA,2,2,0,2,0,2,1
1648,Molino-Umari,NA,2,2,0,2,0,1,1
1650,Molino-Umari,NA,2,2,0,2,0,2,6
1651,Molino-Umari,NA,6,2,0,6,0,3,1
1652,Molino-Umari,NA,8,2,0,8,0,3,1
1655,Molino-Umari,NA,3,2,0,3,0,2,2
1657,Molino-Umari,NA,2,1,0,2,0,2,1
1660,Molino-Umari,NA,4,2,0,4,0,2,1
1661,Molino-Umari,NA,2,3,0,2,0,1,5
1667,Molino-Umari,NA,6,2,0,6,0,3,1
1684,Molino-Umari,NA,1,1,0,1,0,1,1
